word,definition,audioUrl,interval,dueDate,deck
Ubiquitous,Present everywhere,,1,2023-10-01,default
Ephemeral,Lasting a short time,,1,2023-10-01,default
Sycophant,Excessive flattery,,1,2023-10-01,default
Abate,To diminish in intensity,,1,2023-10-01,default
Aberrant,Diverging from the standard type,,1,2023-10-01,default
Abjure,To reject or renounce,,1,2023-10-01,default
Abscond,To leave secretly,,1,2023-10-01,default
Admonish,To scold or advise firmly,,1,2023-10-01,default
Alacrity,Promptness and eagerness,,1,2023-10-01,default
Amalgamate,To combine or mix together,,1,2023-10-01,default
Austere,Severe or unadorned,,1,2023-10-01,default
Avarice,Greed,,1,2023-10-01,default
Bolster,To support or strengthen,,1,2023-10-01,default
Cacophony,Loud and chaotic noise,,1,2023-10-01,default
Capricious,Unpredictable; whimsical,,1,2023-10-01,default
Castigate,To scold or berate strongly,,1,2023-10-01,default
Caustic,Bitterly sarcastic; corrosive,,1,2023-10-01,default
Conspicuous,Easily seen; obvious,,1,2023-10-01,default
Deference,Respect or polite submission,,1,2023-10-01,default
Deride,To mock or ridicule,,1,2023-10-01,default
Efficacy,Effectiveness,,1,2023-10-01,default
Enervate,To exhaust or drain of energy,,1,2023-10-01,default
Erudite,Scholarly; knowledgeable,,1,2023-10-01,default
Esoteric,Understood by only a select few,,1,2023-10-01,default
Fastidious,Meticulous; invested in cleanliness,,1,2023-10-01,default